"","Stn.Id","landsat_date","mid_dt","Latitude","Longitude","ECOSTRESS","dt","date","Air_Temp","Location","Band1","Band2","Band3","Band4","Band5","Band6","Band7"
"1",2,2018-07-12,2018-07-15 06:30:00,36.336222,-120.11291,23.53,2018-07-15 06:58:27,2018-07-15,24.4,"FivePoints",0.0195,0.0261,0.0572,0.044,0.4765,0.1758,0.0732
"2",2,2018-07-21,2018-07-22 04:30:00,36.336222,-120.11291,22.21,2018-07-22 04:06:46,2018-07-22,20.8,"FivePoints",0.0291,0.0409,0.0791,0.0668,0.5059,0.2213,0.1011
"3",2,2018-07-21,2018-07-22 20:30:00,36.336222,-120.11291,31.59,2018-07-22 20:44:16,2018-07-22,29.7,"FivePoints",0.0291,0.0409,0.0791,0.0668,0.5059,0.2213,0.1011
"4",2,2018-07-28,2018-07-25 03:30:00,36.336222,-120.11291,21.45,2018-07-25 03:06:47,2018-07-25,23.5,"FivePoints",0.0228,0.0289,0.0573,0.0417,0.474,0.1851,0.0786
"5",2,2018-07-28,2018-07-29 01:30:00,36.336222,-120.11291,22.39,2018-07-29 01:15:24,2018-07-29,25.45,"FivePoints",0.0228,0.0289,0.0573,0.0417,0.474,0.1851,0.0786
"6",2,2018-08-13,2018-08-14 18:30:00,36.336222,-120.11291,35.53,2018-08-14 18:35:02,2018-08-14,30.8,"FivePoints",0.0296,0.0387,0.0712,0.0602,0.4538,0.1928,0.089
"7",2,2018-08-13,2018-08-15 11:30:00,36.336222,-120.11291,42.55,2018-08-15 11:13:25,2018-08-15,29,"FivePoints",0.0296,0.0387,0.0712,0.0602,0.4538,0.1928,0.089
"8",2,2018-08-22,2018-08-24 14:30:00,36.336222,-120.11291,44.75,2018-08-24 14:44:17,2018-08-24,30.8,"FivePoints",0.0237,0.0327,0.0645,0.0499,0.5077,0.2086,0.0936
"9",2,2018-08-22,2018-08-25 07:30:00,36.336222,-120.11291,17.23,2018-08-25 07:22:23,2018-08-25,20.6,"FivePoints",0.0237,0.0327,0.0645,0.0499,0.5077,0.2086,0.0936
"10",2,2018-08-29,2018-08-31 11:30:00,36.336222,-120.11291,41.23,2018-08-31 11:53:26,2018-08-31,26,"FivePoints",0.0164,0.0205,0.0511,0.0322,0.4871,0.145,0.0545
"11",2,2018-08-29,2018-09-01 04:30:00,36.336222,-120.11291,13.85,2018-09-01 04:31:50,2018-09-01,14.9,"FivePoints",0.0164,0.0205,0.0511,0.0322,0.4871,0.145,0.0545
"12",2,2018-09-07,2018-09-03 10:30:00,36.336222,-120.11291,40.87,2018-09-03 10:53:57,2018-09-03,29.4,"FivePoints",0.0258,0.0329,0.0626,0.0423,0.5078,0.2124,0.1002
"13",2,2018-09-07,2018-09-08 01:30:00,36.336222,-120.11291,19.99,2018-09-08 01:40:26,2018-09-08,23.1,"FivePoints",0.0258,0.0329,0.0626,0.0423,0.5078,0.2124,0.1002
"14",2,2018-09-14,2018-09-13 23:30:00,36.336222,-120.11291,16.0700000000001,2018-09-13 23:42:14,2018-09-13,17.1,"FivePoints",0.0237,0.0277,0.0554,0.0379,0.4863,0.1835,0.0811
"15",2,2018-09-23,2018-09-20 20:30:00,36.336222,-120.11291,19.55,2018-09-20 20:51:22,2018-09-20,19.3,"FivePoints",0.0212,0.0255,0.0504,0.0276,0.525,0.1924,0.0782
"16",2,2018-09-23,2018-09-23 03:30:00,36.336222,-120.11291,15.49,2018-09-23 03:13:31,2018-09-23,15.5,"FivePoints",0.0212,0.0255,0.0504,0.0276,0.525,0.1924,0.0782
"17",2,2018-09-30,2018-09-27 18:30:00,36.336222,-120.11291,29.15,2018-09-27 18:00:35,2018-09-27,25.7,"FivePoints",0.035,0.0461,0.0688,0.0579,0.4584,0.2082,0.1057
"18",2,2019-07-24,2019-07-27 17:30:00,36.336222,-120.11291,40.19,2019-07-27 17:36:35,2019-07-27,36.6,"FivePoints",0.0198,0.0302,0.0651,0.0507,0.4724,0.1852,0.0787
"19",2,2019-07-31,2019-07-31 15:30:00,36.336222,-120.11291,46.87,2019-07-31 15:55:57,2019-07-31,34.8,"FivePoints",0.0337,0.0411,0.0713,0.0634,0.4407,0.2177,0.1015
"20",2,2019-08-09,2019-08-06 20:30:00,36.336222,-120.11291,28.53,2019-08-06 20:43:56,2019-08-06,27.7,"FivePoints",0.0207,0.0317,0.0695,0.0562,0.4728,0.1785,0.0789
"21",2,2019-08-09,2019-08-10 18:30:00,36.336222,-120.11291,29.97,2019-08-10 19:02:47,2019-08-10,27.8,"FivePoints",0.0207,0.0317,0.0695,0.0562,0.4728,0.1785,0.0789
"22",2,2019-08-09,2019-08-11 11:30:00,36.336222,-120.11291,39.75,2019-08-11 11:43:11,2019-08-11,27.4,"FivePoints",0.0207,0.0317,0.0695,0.0562,0.4728,0.1785,0.0789
"23",2,2019-08-16,2019-08-15 10:30:00,36.336222,-120.11291,37.25,2019-08-15 10:02:41,2019-08-15,34,"FivePoints",0.0343,0.0402,0.0725,0.0602,0.4581,0.2264,0.1056
